,property type,society,sector,price,price_per_sq_ft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxary_score,area_bedroom_ratio
525,house,huda ashok vihar phase,sector 3,0.7,10234.0,684.0,Plot area 684(63.55 sq.m.),3,2,1,2.0,North-East,New Property,,684.0,,1,0,0,0,0,0,7,228.0
2722,flat,ramsons kshitij,sector 95,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,na,undefined,,,685.0,0,0,0,0,0,0,0,228.33
3847,flat,ramsons kshitij,sector 95,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,na,undefined,,,685.0,0,0,0,0,0,0,0,228.33
2086,flat,mvn athens,sector 163,0.27,5895.0,458.0,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0.0,na,Relatively New,,,457.46575,0,0,0,0,0,2,69,229.0
3114,flat,mvn athens,sector 163,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4.0,south-east,Relatively New,,,457.788667,0,0,0,0,1,2,35,229.0
1583,house,independent,sector 10,3.6,19608.0,1836.0,Plot area 204(170.57 sq.m.),8,4,3,3.0,North,Moderately Old,,1836.0,,0,0,0,1,0,2,28,229.5
1966,house,surat nagar phase 2,sector 10,0.36,7843.0,459.0,Plot area 51(42.64 sq.m.),2,2,1,1.0,North-East,Moderately Old,,459.0,,0,0,0,1,0,0,0,229.5
3786,house,independent,sector 46,4.35,23693.0,1836.0,Plot area 204(170.57 sq.m.),8,8,2,3.0,North-East,Relatively New,,1836.0,,1,0,0,1,0,2,19,229.5
968,flat,signature global the millennia 3,sector 37,0.5,7143.0,700.0,Carpet area: 700 (65.03 sq.m.),3,3,2,2.0,na,Under Construction,,,700.0,0,0,0,0,0,0,31,233.33
810,flat,gls arawali homes,sector 163,0.28,5983.0,468.0,Carpet area: 468 (43.48 sq.m.),2,2,2,3.0,na,Relatively New,,,468.0,0,0,0,0,0,0,42,234.0
2933,flat,supertech basera,sector 79,0.36,7643.0,471.0,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4.0,na,New Property,,546.0,471.0,0,0,0,0,0,0,60,235.5
443,house,independent,sector 10,0.49,10381.0,472.0,Plot area 530(49.24 sq.m.),2,1,No,1.0,,Old Property,,530.0,,0,0,0,0,0,0,7,236.0
1641,flat,pivotal devaan,sector 84,0.36,7595.0,474.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,9.0,west,Relatively New,583.0,,481.0,0,0,1,0,0,1,80,237.0
1932,flat,gls arawali homes,sector 163,0.32,6723.0,476.0,Built Up area: 476 (44.22 sq.m.),2,1,No,0.0,na,undefined,,476.0,,0,0,0,0,0,0,0,238.0
2985,flat,signature global solera,sector 107,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,11.0,south,Relatively New,,,489.0,0,0,0,0,0,0,45,240.0
491,flat,signature global solera,sector 107,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,north-east,Relatively New,,,489.0,0,0,0,0,0,0,45,240.0
3159,flat,mvn athens sohna gurgaon,sector 5,0.28,5833.0,480.0,Carpet area: 480 (44.59 sq.m.),2,2,1,2.0,na,Relatively New,,,480.0,0,0,0,0,0,0,42,240.0
479,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9,9,3+,3.0,East,Relatively New,,2160.0,,1,1,0,1,1,1,128,240.0
3808,house,independent,sector 17,3.5,24306.0,1440.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,undefined,,160.0,,0,0,0,0,0,0,0,240.0
1772,house,iffco nagar and 17b rwa,sector 17,3.5,24306.0,1440.0,Plot area 1440(133.78 sq.m.),6,5,3,3.0,East,Old Property,,1440.0,,0,0,0,0,0,0,44,240.0
